decade,songs_entering,unique_performer_strings,avg_lifetime_weeks,median_lifetime_weeks,avg_best_peak,pct_reached_top10,pct_reached_no1,weekly_entries,unique_song_weekly,dem_mean_d1,rep_mean_d1,polarization_gap,chamber,polarization_index_0_100
1950,925,442,8.88,8.0,47.44,15.89,2.81,7400,925,-0.25,0.274,0.524,Overall,0.8
1960,6850,1958,7.61,7.0,49.11,15.46,2.98,52100,6954,-0.293,0.259,0.552,Overall,8.4
1970,5300,1818,9.89,9.0,46.18,17.75,4.79,52200,5405,-0.313,0.266,0.578,Overall,15.3
1980,4113,1511,12.69,12.0,40.2,23.56,5.57,52200,4221,-0.303,0.321,0.624,Overall,27.3
1990,3424,1698,15.26,15.0,43.9,19.6,4.18,52100,3527,-0.326,0.366,0.692,Overall,45.5
2000,3418,1674,15.42,17.0,44.93,17.29,3.72,52200,3516,-0.336,0.404,0.739,Overall,57.9
2010,4431,2172,11.83,8.0,51.44,11.74,2.64,52200,4581,-0.357,0.479,0.837,Overall,83.7
2020,2876,1387,7.54,2.0,49.86,10.78,2.54,23200,3029,-0.37,0.528,0.898,Overall,100.0
